12:52:59.319 [main] INFO  com.ruider.Application - Starting Application on admindeMacBook-Pro.local with PID 11271 (/Users/mahede/ruider/MyProject/RuiDerWX/target/classes started by mahede in /Users/mahede/ruider/MyProject/RuiDerWX)
13:08:22.295 [http-nio-8080-exec-8] INFO  c.r.c.NeedsManagementController - 【获取用户所有列表开始】 getNeedsByUserId start
13:08:22.301 [http-nio-8080-exec-8] INFO  c.r.c.NeedsManagementController - 【获取用户所有列表成功】 getNeedsByUserId success
13:09:16.894 [http-nio-8080-exec-9] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
13:09:16.895 [http-nio-8080-exec-9] INFO  com.ruider.controller.UserController - addUserInfoIfNoSaved start
13:09:16.899 [http-nio-8080-exec-9] INFO  com.ruider.controller.UserController - 【用户信息已存在】addUserInfoIfNoSaved fail
13:09:18.621 [http-nio-8080-exec-10] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
13:09:18.621 [http-nio-8080-exec-10] INFO  c.r.c.NeedsManagementController - 【获取用户所有列表开始】 getNeedsByUserId start
13:09:18.626 [http-nio-8080-exec-10] INFO  c.r.c.NeedsManagementController - 【获取用户所有列表成功】 getNeedsByUserId success
13:12:00.528 [http-nio-8080-exec-2] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
13:12:00.529 [http-nio-8080-exec-2] INFO  com.ruider.controller.UserController - addUserInfoIfNoSaved start
13:12:00.531 [http-nio-8080-exec-2] INFO  com.ruider.controller.UserController - 【用户信息已存在】addUserInfoIfNoSaved fail
13:12:02.849 [http-nio-8080-exec-3] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
13:12:02.850 [http-nio-8080-exec-3] INFO  c.r.c.NeedsManagementController - 【获取用户所有列表开始】 getNeedsByUserId start
13:12:02.853 [http-nio-8080-exec-3] INFO  c.r.c.NeedsManagementController - 【获取用户所有列表成功】 getNeedsByUserId success
13:16:07.117 [http-nio-8080-exec-5] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
13:16:07.119 [http-nio-8080-exec-5] INFO  com.ruider.controller.UserController - addUserInfoIfNoSaved start
13:16:07.121 [http-nio-8080-exec-5] INFO  com.ruider.controller.UserController - 【用户信息已存在】addUserInfoIfNoSaved fail
13:16:09.112 [http-nio-8080-exec-6] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
13:16:09.113 [http-nio-8080-exec-6] INFO  c.r.c.NeedsManagementController - 【获取用户所有列表开始】 getNeedsByUserId start
13:16:09.118 [http-nio-8080-exec-6] INFO  c.r.c.NeedsManagementController - 【获取用户所有列表成功】 getNeedsByUserId success
13:18:53.852 [http-nio-8080-exec-8] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
13:18:53.853 [http-nio-8080-exec-8] INFO  com.ruider.controller.UserController - addUserInfoIfNoSaved start
13:18:53.856 [http-nio-8080-exec-8] INFO  com.ruider.controller.UserController - 【用户信息已存在】addUserInfoIfNoSaved fail
13:18:55.731 [http-nio-8080-exec-9] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
13:18:55.731 [http-nio-8080-exec-9] INFO  c.r.c.NeedsManagementController - 【获取用户所有列表开始】 getNeedsByUserId start
13:18:55.734 [http-nio-8080-exec-9] INFO  c.r.c.NeedsManagementController - 【获取用户所有列表成功】 getNeedsByUserId success
13:20:10.075 [http-nio-8080-exec-1] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
13:20:10.076 [http-nio-8080-exec-1] INFO  com.ruider.controller.UserController - addUserInfoIfNoSaved start
13:20:10.078 [http-nio-8080-exec-1] INFO  com.ruider.controller.UserController - 【用户信息已存在】addUserInfoIfNoSaved fail
13:20:12.379 [http-nio-8080-exec-2] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
13:20:12.380 [http-nio-8080-exec-2] INFO  c.r.c.NeedsManagementController - 【获取用户所有列表开始】 getNeedsByUserId start
13:20:12.382 [http-nio-8080-exec-2] INFO  c.r.c.NeedsManagementController - 【获取用户所有列表成功】 getNeedsByUserId success
13:23:07.068 [http-nio-8080-exec-4] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
13:23:07.070 [http-nio-8080-exec-4] INFO  com.ruider.controller.UserController - addUserInfoIfNoSaved start
13:23:07.072 [http-nio-8080-exec-4] INFO  com.ruider.controller.UserController - 【用户信息已存在】addUserInfoIfNoSaved fail
13:23:09.523 [http-nio-8080-exec-5] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
13:23:09.523 [http-nio-8080-exec-5] INFO  c.r.c.NeedsManagementController - 【获取用户所有列表开始】 getNeedsByUserId start
13:23:09.526 [http-nio-8080-exec-5] INFO  c.r.c.NeedsManagementController - 【获取用户所有列表成功】 getNeedsByUserId success
13:25:00.994 [http-nio-8080-exec-7] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
13:25:00.996 [http-nio-8080-exec-7] INFO  com.ruider.controller.UserController - addUserInfoIfNoSaved start
13:25:00.998 [http-nio-8080-exec-7] INFO  com.ruider.controller.UserController - 【用户信息已存在】addUserInfoIfNoSaved fail
13:25:02.927 [http-nio-8080-exec-8] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
13:25:02.927 [http-nio-8080-exec-8] INFO  c.r.c.NeedsManagementController - 【获取用户所有列表开始】 getNeedsByUserId start
13:25:02.930 [http-nio-8080-exec-8] INFO  c.r.c.NeedsManagementController - 【获取用户所有列表成功】 getNeedsByUserId success
13:27:59.811 [http-nio-8080-exec-10] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
13:27:59.812 [http-nio-8080-exec-10] INFO  com.ruider.controller.UserController - addUserInfoIfNoSaved start
13:27:59.814 [http-nio-8080-exec-10] INFO  com.ruider.controller.UserController - 【用户信息已存在】addUserInfoIfNoSaved fail
13:28:01.560 [http-nio-8080-exec-1] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
13:28:01.561 [http-nio-8080-exec-1] INFO  c.r.c.NeedsManagementController - 【获取用户所有列表开始】 getNeedsByUserId start
13:28:01.563 [http-nio-8080-exec-1] INFO  c.r.c.NeedsManagementController - 【获取用户所有列表成功】 getNeedsByUserId success
13:31:29.238 [Thread-3] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
13:31:29.238 [Thread-3] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
13:31:29.245 [Thread-3] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
13:31:32.792 [main] INFO  com.ruider.Application - Starting Application on admindeMacBook-Pro.local with PID 11404 (/Users/mahede/ruider/MyProject/RuiDerWX/target/classes started by mahede in /Users/mahede/ruider/MyProject/RuiDerWX)
13:31:32.798 [main] INFO  com.ruider.Application - No active profile set, falling back to default profiles: default
13:31:33.692 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
13:31:33.693 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
13:31:33.722 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 17ms. Found 0 repository interfaces.
13:31:34.030 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$3ab85012] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
13:31:34.349 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
13:31:34.361 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
13:31:34.365 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
13:31:34.365 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/9.0.12
13:31:34.372 [main] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/mahede/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
13:31:34.448 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
13:31:34.448 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1591 ms
13:31:34.493 [main] INFO  o.s.b.w.s.ServletRegistrationBean - Servlet dispatcherServlet mapped to [/]
13:31:34.496 [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
13:31:34.497 [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
13:31:34.497 [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'formContentFilter' to: [/*]
13:31:34.497 [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
13:31:34.497 [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'com.ruider.filter.XssFilter' to urls: [/*]
13:31:34.929 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
13:31:35.443 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
13:31:35.464 [main] INFO  o.a.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
13:31:35.478 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
13:31:35.481 [main] INFO  com.ruider.Application - Started Application in 3.357 seconds (JVM running for 4.157)
13:32:03.335 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
