10:14:19.024 [main] INFO  com.ruider.Application - Starting Application on mahededeMacBook-Pro.local with PID 21625 (/Users/ruider/RuiDer/RuiDer/MyProject/RuiDerWX/target/classes started by ruider in /Users/ruider/RuiDer/RuiDer/MyProject/RuiDerWX)
10:14:19.032 [main] INFO  com.ruider.Application - No active profile set, falling back to default profiles: default
10:14:21.517 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
10:14:21.523 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
10:14:21.617 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 55ms. Found 0 repository interfaces.
10:14:22.334 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.ruider.config.RedisConfig$$EnhancerBySpringCGLIB$$c4f71d20] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:14:22.346 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$f73aab34] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:14:23.131 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
10:14:23.159 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
10:14:23.168 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:14:23.169 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/9.0.12
10:14:23.183 [main] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/ruider/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
10:14:23.377 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
10:14:23.378 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 4145 ms
10:14:23.470 [main] INFO  o.s.b.w.s.ServletRegistrationBean - Servlet dispatcherServlet mapped to [/]
10:14:23.478 [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
10:14:23.479 [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
10:14:23.479 [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'formContentFilter' to: [/*]
10:14:23.479 [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
10:14:23.479 [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'com.ruider.filter.XssFilter' to urls: [/*]
10:14:24.876 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
10:14:25.678 [main] INFO  o.s.s.c.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
10:14:25.820 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ准备输出用户消息
10:14:25.832 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
10:14:25.916 [main] INFO  o.a.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
10:14:25.952 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
10:14:25.962 [main] INFO  com.ruider.Application - Started Application in 8.001 seconds (JVM running for 10.258)
10:14:30.054 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ准备输出用户消息
10:14:34.065 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ准备输出用户消息
10:14:38.076 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ准备输出用户消息
10:14:42.090 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ准备输出用户消息
10:14:46.095 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ准备输出用户消息
10:14:50.104 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ准备输出用户消息
10:14:54.113 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ准备输出用户消息
10:14:54.420 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ当前连接启动成功
10:14:54.481 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ关闭当前session成功
10:14:58.484 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ准备输出用户消息
10:14:58.505 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ当前连接启动成功
10:14:58.512 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ关闭当前session成功
10:15:02.514 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ准备输出用户消息
10:15:02.527 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ当前连接启动成功
10:15:02.534 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ关闭当前session成功
10:15:06.538 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ准备输出用户消息
10:15:06.555 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ当前连接启动成功
10:15:06.561 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ关闭当前session成功
10:15:10.563 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ准备输出用户消息
10:15:10.575 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ当前连接启动成功
10:15:10.586 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ关闭当前session成功
10:15:14.593 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ准备输出用户消息
10:15:14.611 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ当前连接启动成功
10:15:14.616 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ关闭当前session成功
10:15:18.622 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ准备输出用户消息
10:15:18.638 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ当前连接启动成功
10:15:18.644 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ关闭当前session成功
10:15:22.647 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ准备输出用户消息
10:15:22.661 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ当前连接启动成功
10:15:22.664 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ关闭当前session成功
10:15:26.667 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ准备输出用户消息
10:15:26.691 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ当前连接启动成功
10:15:26.697 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ关闭当前session成功
10:15:30.700 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ准备输出用户消息
10:15:30.714 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ当前连接启动成功
10:15:30.723 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ关闭当前session成功
10:15:34.728 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ准备输出用户消息
10:15:34.747 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ当前连接启动成功
10:15:34.750 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ关闭当前session成功
10:15:38.754 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ准备输出用户消息
10:15:38.763 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ当前连接启动成功
10:15:38.772 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ关闭当前session成功
10:15:42.777 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ准备输出用户消息
10:15:42.787 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ当前连接启动成功
10:15:42.792 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ关闭当前session成功
10:15:44.853 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
10:15:44.858 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
10:15:44.906 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 47 ms
10:15:44.928 [http-nio-8080-exec-2] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
10:15:44.992 [http-nio-8080-exec-2] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ准备接受用户消息
10:15:45.004 [http-nio-8080-exec-2] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ当前连接启动成功
10:15:45.077 [http-nio-8080-exec-2] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ提交用户信息并保存至MQ中，信息为 JMSMessageID:ID:mahededeMacBook-Pro.local-58377-1555035265921-1:21:1:1:1 , message: 5
10:15:45.080 [http-nio-8080-exec-2] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ关闭当前session成功
10:15:45.081 [http-nio-8080-exec-2] INFO  c.r.controller.ActiveMQController - 【test success】发送消息成功，MQ收到消息
10:15:45.279 [http-nio-8080-exec-3] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
10:15:45.282 [http-nio-8080-exec-3] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ准备接受用户消息
10:15:45.303 [http-nio-8080-exec-3] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ当前连接启动成功
10:15:45.337 [http-nio-8080-exec-3] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ提交用户信息并保存至MQ中，信息为 JMSMessageID:ID:mahededeMacBook-Pro.local-58377-1555035265921-1:22:1:1:1 , message: 5
10:15:45.341 [http-nio-8080-exec-3] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ关闭当前session成功
10:15:45.342 [http-nio-8080-exec-3] INFO  c.r.controller.ActiveMQController - 【test success】发送消息成功，MQ收到消息
10:15:45.375 [http-nio-8080-exec-4] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
10:15:45.377 [http-nio-8080-exec-4] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ准备接受用户消息
10:15:45.394 [http-nio-8080-exec-4] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ当前连接启动成功
10:15:45.422 [http-nio-8080-exec-4] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ提交用户信息并保存至MQ中，信息为 JMSMessageID:ID:mahededeMacBook-Pro.local-58377-1555035265921-1:23:1:1:1 , message: 5
10:15:45.427 [http-nio-8080-exec-4] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ关闭当前session成功
10:15:45.428 [http-nio-8080-exec-4] INFO  c.r.controller.ActiveMQController - 【test success】发送消息成功，MQ收到消息
10:15:45.455 [http-nio-8080-exec-5] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
10:15:45.457 [http-nio-8080-exec-5] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ准备接受用户消息
10:15:45.467 [http-nio-8080-exec-5] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ当前连接启动成功
10:15:45.494 [http-nio-8080-exec-5] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ提交用户信息并保存至MQ中，信息为 JMSMessageID:ID:mahededeMacBook-Pro.local-58377-1555035265921-1:24:1:1:1 , message: 5
10:15:45.498 [http-nio-8080-exec-5] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ关闭当前session成功
10:15:45.498 [http-nio-8080-exec-5] INFO  c.r.controller.ActiveMQController - 【test success】发送消息成功，MQ收到消息
10:15:45.531 [http-nio-8080-exec-6] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
10:15:45.533 [http-nio-8080-exec-6] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ准备接受用户消息
10:15:45.551 [http-nio-8080-exec-6] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ当前连接启动成功
10:15:45.585 [http-nio-8080-exec-6] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ提交用户信息并保存至MQ中，信息为 JMSMessageID:ID:mahededeMacBook-Pro.local-58377-1555035265921-1:25:1:1:1 , message: 5
10:15:45.586 [http-nio-8080-exec-6] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ关闭当前session成功
10:15:45.587 [http-nio-8080-exec-6] INFO  c.r.controller.ActiveMQController - 【test success】发送消息成功，MQ收到消息
10:15:45.623 [http-nio-8080-exec-7] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
10:15:45.626 [http-nio-8080-exec-7] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ准备接受用户消息
10:15:45.638 [http-nio-8080-exec-7] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ当前连接启动成功
10:15:45.670 [http-nio-8080-exec-7] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ提交用户信息并保存至MQ中，信息为 JMSMessageID:ID:mahededeMacBook-Pro.local-58377-1555035265921-1:26:1:1:1 , message: 5
10:15:45.673 [http-nio-8080-exec-7] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ关闭当前session成功
10:15:45.674 [http-nio-8080-exec-7] INFO  c.r.controller.ActiveMQController - 【test success】发送消息成功，MQ收到消息
10:15:45.709 [http-nio-8080-exec-8] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
10:15:45.712 [http-nio-8080-exec-8] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ准备接受用户消息
10:15:45.783 [http-nio-8080-exec-8] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ当前连接启动成功
10:15:45.823 [http-nio-8080-exec-8] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ提交用户信息并保存至MQ中，信息为 JMSMessageID:ID:mahededeMacBook-Pro.local-58377-1555035265921-1:27:1:1:1 , message: 5
10:15:45.829 [http-nio-8080-exec-8] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ关闭当前session成功
10:15:45.829 [http-nio-8080-exec-8] INFO  c.r.controller.ActiveMQController - 【test success】发送消息成功，MQ收到消息
10:15:45.869 [http-nio-8080-exec-9] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
10:15:45.870 [http-nio-8080-exec-9] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ准备接受用户消息
10:15:45.896 [http-nio-8080-exec-9] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ当前连接启动成功
10:15:45.931 [http-nio-8080-exec-9] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ提交用户信息并保存至MQ中，信息为 JMSMessageID:ID:mahededeMacBook-Pro.local-58377-1555035265921-1:28:1:1:1 , message: 5
10:15:45.936 [http-nio-8080-exec-9] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ关闭当前session成功
10:15:45.937 [http-nio-8080-exec-9] INFO  c.r.controller.ActiveMQController - 【test success】发送消息成功，MQ收到消息
10:15:45.982 [http-nio-8080-exec-10] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
10:15:45.987 [http-nio-8080-exec-10] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ准备接受用户消息
10:15:46.002 [http-nio-8080-exec-10] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ当前连接启动成功
10:15:46.036 [http-nio-8080-exec-10] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ提交用户信息并保存至MQ中，信息为 JMSMessageID:ID:mahededeMacBook-Pro.local-58377-1555035265921-1:29:1:1:1 , message: 5
10:15:46.040 [http-nio-8080-exec-10] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ关闭当前session成功
10:15:46.041 [http-nio-8080-exec-10] INFO  c.r.controller.ActiveMQController - 【test success】发送消息成功，MQ收到消息
10:15:46.071 [http-nio-8080-exec-1] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
10:15:46.072 [http-nio-8080-exec-1] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ准备接受用户消息
10:15:46.081 [http-nio-8080-exec-1] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ当前连接启动成功
10:15:46.110 [http-nio-8080-exec-1] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ提交用户信息并保存至MQ中，信息为 JMSMessageID:ID:mahededeMacBook-Pro.local-58377-1555035265921-1:30:1:1:1 , message: 5
10:15:46.113 [http-nio-8080-exec-1] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ关闭当前session成功
10:15:46.114 [http-nio-8080-exec-1] INFO  c.r.controller.ActiveMQController - 【test success】发送消息成功，MQ收到消息
10:15:46.148 [http-nio-8080-exec-2] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
10:15:46.153 [http-nio-8080-exec-2] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ准备接受用户消息
10:15:46.172 [http-nio-8080-exec-2] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ当前连接启动成功
10:15:46.202 [http-nio-8080-exec-2] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ提交用户信息并保存至MQ中，信息为 JMSMessageID:ID:mahededeMacBook-Pro.local-58377-1555035265921-1:31:1:1:1 , message: 5
10:15:46.207 [http-nio-8080-exec-2] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ关闭当前session成功
10:15:46.207 [http-nio-8080-exec-2] INFO  c.r.controller.ActiveMQController - 【test success】发送消息成功，MQ收到消息
10:15:46.352 [http-nio-8080-exec-3] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
10:15:46.354 [http-nio-8080-exec-3] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ准备接受用户消息
10:15:46.365 [http-nio-8080-exec-3] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ当前连接启动成功
10:15:46.438 [http-nio-8080-exec-3] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ提交用户信息并保存至MQ中，信息为 JMSMessageID:ID:mahededeMacBook-Pro.local-58377-1555035265921-1:32:1:1:1 , message: 5
10:15:46.441 [http-nio-8080-exec-3] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ关闭当前session成功
10:15:46.442 [http-nio-8080-exec-3] INFO  c.r.controller.ActiveMQController - 【test success】发送消息成功，MQ收到消息
10:15:46.471 [http-nio-8080-exec-4] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
10:15:46.473 [http-nio-8080-exec-4] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ准备接受用户消息
10:15:46.490 [http-nio-8080-exec-4] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ当前连接启动成功
10:15:46.517 [http-nio-8080-exec-4] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ提交用户信息并保存至MQ中，信息为 JMSMessageID:ID:mahededeMacBook-Pro.local-58377-1555035265921-1:33:1:1:1 , message: 5
10:15:46.520 [http-nio-8080-exec-4] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ关闭当前session成功
10:15:46.521 [http-nio-8080-exec-4] INFO  c.r.controller.ActiveMQController - 【test success】发送消息成功，MQ收到消息
10:15:46.548 [http-nio-8080-exec-5] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
10:15:46.551 [http-nio-8080-exec-5] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ准备接受用户消息
10:15:46.593 [http-nio-8080-exec-5] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ当前连接启动成功
10:15:46.627 [http-nio-8080-exec-5] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ提交用户信息并保存至MQ中，信息为 JMSMessageID:ID:mahededeMacBook-Pro.local-58377-1555035265921-1:34:1:1:1 , message: 5
10:15:46.632 [http-nio-8080-exec-5] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ关闭当前session成功
10:15:46.633 [http-nio-8080-exec-5] INFO  c.r.controller.ActiveMQController - 【test success】发送消息成功，MQ收到消息
10:15:46.684 [http-nio-8080-exec-6] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
10:15:46.689 [http-nio-8080-exec-6] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ准备接受用户消息
10:15:46.701 [http-nio-8080-exec-6] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ当前连接启动成功
10:15:46.735 [http-nio-8080-exec-6] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ提交用户信息并保存至MQ中，信息为 JMSMessageID:ID:mahededeMacBook-Pro.local-58377-1555035265921-1:35:1:1:1 , message: 5
10:15:46.739 [http-nio-8080-exec-6] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ关闭当前session成功
10:15:46.740 [http-nio-8080-exec-6] INFO  c.r.controller.ActiveMQController - 【test success】发送消息成功，MQ收到消息
10:15:46.771 [http-nio-8080-exec-7] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
10:15:46.773 [http-nio-8080-exec-7] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ准备接受用户消息
10:15:46.785 [http-nio-8080-exec-7] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ当前连接启动成功
10:15:46.794 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ准备输出用户消息
10:15:46.813 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ当前连接启动成功
10:15:46.813 [http-nio-8080-exec-7] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ提交用户信息并保存至MQ中，信息为 JMSMessageID:ID:mahededeMacBook-Pro.local-58377-1555035265921-1:36:1:1:1 , message: 5
10:15:46.816 [http-nio-8080-exec-7] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ关闭当前session成功
10:15:46.817 [http-nio-8080-exec-7] INFO  c.r.controller.ActiveMQController - 【test success】发送消息成功，MQ收到消息
10:15:46.820 [scheduling-1] INFO  c.r.u.ActiveMQUtils.ActiveMQConsumer - MQ关闭当前session成功
10:15:46.844 [http-nio-8080-exec-8] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
10:15:46.845 [http-nio-8080-exec-8] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ准备接受用户消息
10:15:46.855 [http-nio-8080-exec-8] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ当前连接启动成功
10:15:46.879 [http-nio-8080-exec-8] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ提交用户信息并保存至MQ中，信息为 JMSMessageID:ID:mahededeMacBook-Pro.local-58377-1555035265921-1:38:1:1:1 , message: 5
10:15:46.882 [http-nio-8080-exec-8] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ关闭当前session成功
10:15:46.882 [http-nio-8080-exec-8] INFO  c.r.controller.ActiveMQController - 【test success】发送消息成功，MQ收到消息
10:15:46.910 [http-nio-8080-exec-9] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
10:15:46.912 [http-nio-8080-exec-9] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ准备接受用户消息
10:15:46.934 [http-nio-8080-exec-9] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ当前连接启动成功
10:15:46.957 [http-nio-8080-exec-9] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ提交用户信息并保存至MQ中，信息为 JMSMessageID:ID:mahededeMacBook-Pro.local-58377-1555035265921-1:39:1:1:1 , message: 5
10:15:46.961 [http-nio-8080-exec-9] INFO  c.r.u.ActiveMQUtils.ActiveMQProvider - MQ关闭当前session成功
10:15:46.961 [http-nio-8080-exec-9] INFO  c.r.controller.ActiveMQController - 【test success】发送消息成功，MQ收到消息
10:15:46.986 [http-nio-8080-exec-10] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
